[Row 0] Task B: ΔMain-lobe=-1.55 dB, HPBW_elev≈15.80°, HPBW_az≈1.05°, SLL=-0.0 dB
[Row 1] Task B: ΔMain-lobe=-1.40 dB, HPBW_elev≈12.48°, HPBW_az≈1.03°, SLL=-0.6 dB
[Row 2] Task B: ΔMain-lobe=-0.44 dB, HPBW_elev≈20.00°, HPBW_az≈1.07°, SLL=-0.9 dB
[Row 3] Task B: ΔMain-lobe=10.28 dB, HPBW_elev≈16.05°, HPBW_az≈1.05°, SLL=-0.6 dB
[Row 4] Task B: ΔMain-lobe=6.81 dB, HPBW_elev≈14.45°, HPBW_az≈1.05°, SLL=-0.4 dB
[Row 5] Task B: ΔMain-lobe=-2.66 dB, HPBW_elev≈11.08°, HPBW_az≈1.03°, SLL=-1.1 dB
[Row 6] Task B: ΔMain-lobe=-2.41 dB, HPBW_elev≈10.95°, HPBW_az≈1.05°, SLL=-0.0 dB
[Row 7] Task B: ΔMain-lobe=3.36 dB, HPBW_elev≈20.00°, HPBW_az≈3.88°, SLL=-2.1 dB
[Row 8] Task B: ΔMain-lobe=16.78 dB, HPBW_elev≈20.00°, HPBW_az≈7.20°, SLL=-1.1 dB
[Row 9] Task B: ΔMain-lobe=37.26 dB, HPBW_elev≈12.70°, HPBW_az≈0.93°, SLL=-0.2 dB
[Row 10] Task B: ΔMain-lobe=13.33 dB, HPBW_elev≈8.53°, HPBW_az≈3.62°, SLL=-0.6 dB
[Row 11] Task B: ΔMain-lobe=8.37 dB, HPBW_elev≈10.85°, HPBW_az≈1.07°, SLL=-1.6 dB
[Row 12] Task B: ΔMain-lobe=13.58 dB, HPBW_elev≈4.32°, HPBW_az≈3.45°, SLL=-0.9 dB
[Row 13] Task B: ΔMain-lobe=21.77 dB, HPBW_elev≈15.25°, HPBW_az≈10.15°, SLL=-0.1 dB
[Row 14] Task B: ΔMain-lobe=25.89 dB, HPBW_elev≈20.00°, HPBW_az≈9.47°, SLL=-0.1 dB
[Row 15] Task B: ΔMain-lobe=6.71 dB, HPBW_elev≈5.38°, HPBW_az≈19.82°, SLL=-0.9 dB
[Row 16] Task B: ΔMain-lobe=21.63 dB, HPBW_elev≈8.95°, HPBW_az≈17.70°, SLL=-6.5 dB
[Row 17] Task B: ΔMain-lobe=23.82 dB, HPBW_elev≈13.52°, HPBW_az≈2.12°, SLL=-0.2 dB
[Row 18] Task B: ΔMain-lobe=29.12 dB, HPBW_elev≈10.47°, HPBW_az≈1.60°, SLL=-1.9 dB
[Row 19] Task B: ΔMain-lobe=25.78 dB, HPBW_elev≈16.65°, HPBW_az≈10.90°, SLL=-1.6 dB
[Row 20] Task B: ΔMain-lobe=20.33 dB, HPBW_elev≈20.00°, HPBW_az≈10.35°, SLL=-0.6 dB
[Row 21] Task B: ΔMain-lobe=109.85 dB, HPBW_elev≈20.00°, HPBW_az≈14.62°, SLL=-0.3 dB
[Row 22] Task B: ΔMain-lobe=44.20 dB, HPBW_elev≈20.00°, HPBW_az≈19.62°, SLL=-0.6 dB
[Row 23] Task B: ΔMain-lobe=26.45 dB, HPBW_elev≈3.85°, HPBW_az≈1.50°, SLL=-0.9 dB
[Row 24] Task B: ΔMain-lobe=4.50 dB, HPBW_elev≈20.00°, HPBW_az≈2.62°, SLL=-0.7 dB
[Row 25] Task B: ΔMain-lobe=64.71 dB, HPBW_elev≈5.00°, HPBW_az≈6.12°, SLL=-0.2 dB
[Row 26] Task B: ΔMain-lobe=31.99 dB, HPBW_elev≈13.20°, HPBW_az≈13.80°, SLL=-0.6 dB
[Row 27] Task B: ΔMain-lobe=25.27 dB, HPBW_elev≈20.00°, HPBW_az≈12.45°, SLL=-0.2 dB
[Row 28] Task B: ΔMain-lobe=26.34 dB, HPBW_elev≈18.67°, HPBW_az≈14.68°, SLL=-1.2 dB
[Row 29] Task B: ΔMain-lobe=-8.18 dB, HPBW_elev≈2.70°, HPBW_az≈17.83°, SLL=-1.0 dB
[Row 30] Task B: ΔMain-lobe=59.66 dB, HPBW_elev≈9.12°, HPBW_az≈18.90°, SLL=-0.5 dB
[Row 31] Task B: ΔMain-lobe=25.77 dB, HPBW_elev≈19.75°, HPBW_az≈1.45°, SLL=-2.1 dB
[Row 32] Task B: ΔMain-lobe=14.31 dB, HPBW_elev≈18.72°, HPBW_az≈18.92°, SLL=-5.2 dB
[Row 33] Task B: ΔMain-lobe=44.77 dB, HPBW_elev≈11.18°, HPBW_az≈1.53°, SLL=-0.8 dB
[Row 34] Task B: ΔMain-lobe=34.03 dB, HPBW_elev≈3.57°, HPBW_az≈1.77°, SLL=-0.2 dB
[Row 35] Task B: ΔMain-lobe=37.17 dB, HPBW_elev≈20.00°, HPBW_az≈9.88°, SLL=-0.4 dB
[Row 36] Task B: ΔMain-lobe=52.85 dB, HPBW_elev≈12.20°, HPBW_az≈9.65°, SLL=-0.3 dB
[Row 37] Task B: ΔMain-lobe=38.78 dB, HPBW_elev≈7.18°, HPBW_az≈7.30°, SLL=-1.8 dB
[Row 38] Task B: ΔMain-lobe=30.08 dB, HPBW_elev≈4.30°, HPBW_az≈17.72°, SLL=-1.1 dB
[Row 39] Task B: ΔMain-lobe=42.99 dB, HPBW_elev≈3.57°, HPBW_az≈16.53°, SLL=-0.8 dB
[Row 40] Task B: ΔMain-lobe=-2.37 dB, HPBW_elev≈1.25°, HPBW_az≈10.95°, SLL=-0.1 dB
[Row 41] Task B: ΔMain-lobe=55.59 dB, HPBW_elev≈20.00°, HPBW_az≈8.32°, SLL=-2.1 dB
[Row 42] Task B: ΔMain-lobe=68.78 dB, HPBW_elev≈10.75°, HPBW_az≈8.40°, SLL=-0.2 dB
[Row 43] Task B: ΔMain-lobe=45.26 dB, HPBW_elev≈12.88°, HPBW_az≈8.72°, SLL=-0.1 dB
[Row 44] Task B: ΔMain-lobe=60.88 dB, HPBW_elev≈8.20°, HPBW_az≈16.95°, SLL=-1.5 dB
[Row 45] Task B: ΔMain-lobe=59.62 dB, HPBW_elev≈10.68°, HPBW_az≈9.47°, SLL=-1.4 dB
[Row 46] Task B: ΔMain-lobe=52.10 dB, HPBW_elev≈8.95°, HPBW_az≈7.20°, SLL=-2.8 dB
[Row 47] Task B: ΔMain-lobe=101.51 dB, HPBW_elev≈17.55°, HPBW_az≈19.43°, SLL=-1.4 dB
[Row 48] Task B: ΔMain-lobe=38.00 dB, HPBW_elev≈14.40°, HPBW_az≈5.62°, SLL=-0.0 dB
[Row 49] Task B: ΔMain-lobe=114.84 dB, HPBW_elev≈20.00°, HPBW_az≈15.15°, SLL=-1.4 dB
[Row 50] Task B: ΔMain-lobe=59.53 dB, HPBW_elev≈17.18°, HPBW_az≈18.43°, SLL=-0.0 dB
[Row 51] Task B: ΔMain-lobe=73.87 dB, HPBW_elev≈13.68°, HPBW_az≈17.92°, SLL=-1.9 dB
[Row 52] Task B: ΔMain-lobe=68.50 dB, HPBW_elev≈19.95°, HPBW_az≈10.65°, SLL=-2.2 dB
[Row 53] Task B: ΔMain-lobe=60.06 dB, HPBW_elev≈20.00°, HPBW_az≈12.62°, SLL=-0.8 dB
[Row 54] Task B: ΔMain-lobe=77.80 dB, HPBW_elev≈20.00°, HPBW_az≈19.75°, SLL=-0.9 dB
[Row 55] Task B: ΔMain-lobe=81.56 dB, HPBW_elev≈17.97°, HPBW_az≈12.68°, SLL=-0.6 dB
[Row 56] Task B: ΔMain-lobe=74.67 dB, HPBW_elev≈20.00°, HPBW_az≈18.40°, SLL=-2.1 dB
[Row 57] Task B: ΔMain-lobe=77.03 dB, HPBW_elev≈20.00°, HPBW_az≈12.85°, SLL=-1.5 dB
[Row 58] Task B: ΔMain-lobe=47.81 dB, HPBW_elev≈14.50°, HPBW_az≈18.45°, SLL=-3.1 dB
[Row 59] Task B: ΔMain-lobe=71.61 dB, HPBW_elev≈2.55°, HPBW_az≈7.28°, SLL=-0.8 dB
[Row 60] Task B: ΔMain-lobe=66.05 dB, HPBW_elev≈17.78°, HPBW_az≈10.07°, SLL=-0.2 dB
[Row 61] Task B: ΔMain-lobe=98.56 dB, HPBW_elev≈5.85°, HPBW_az≈20.00°, SLL=-0.9 dB
[Row 62] Task B: ΔMain-lobe=54.38 dB, HPBW_elev≈2.48°, HPBW_az≈20.00°, SLL=-2.4 dB
[Row 63] Task B: ΔMain-lobe=46.05 dB, HPBW_elev≈20.00°, HPBW_az≈9.68°, SLL=-1.5 dB
[Row 64] Task B: ΔMain-lobe=70.73 dB, HPBW_elev≈8.05°, HPBW_az≈14.18°, SLL=-0.3 dB
[Row 65] Task B: ΔMain-lobe=105.23 dB, HPBW_elev≈20.00°, HPBW_az≈18.17°, SLL=-1.9 dB
[Row 66] Task B: ΔMain-lobe=45.39 dB, HPBW_elev≈2.85°, HPBW_az≈4.05°, SLL=-2.9 dB
[Row 67] Task B: ΔMain-lobe=36.54 dB, HPBW_elev≈20.00°, HPBW_az≈17.60°, SLL=-2.9 dB
[Row 68] Task B: ΔMain-lobe=110.56 dB, HPBW_elev≈19.18°, HPBW_az≈4.75°, SLL=-0.6 dB
[Row 69] Task B: ΔMain-lobe=49.55 dB, HPBW_elev≈15.90°, HPBW_az≈16.15°, SLL=-2.7 dB
[Row 70] Task B: ΔMain-lobe=106.65 dB, HPBW_elev≈1.08°, HPBW_az≈7.45°, SLL=-1.7 dB
[Row 71] Task B: ΔMain-lobe=44.51 dB, HPBW_elev≈14.22°, HPBW_az≈1.62°, SLL=-1.0 dB
[Row 72] Task B: ΔMain-lobe=48.42 dB, HPBW_elev≈4.62°, HPBW_az≈1.32°, SLL=-0.4 dB
[Row 73] Task B: ΔMain-lobe=60.39 dB, HPBW_elev≈5.20°, HPBW_az≈11.70°, SLL=-0.9 dB
[Row 74] Task B: ΔMain-lobe=135.17 dB, HPBW_elev≈9.27°, HPBW_az≈12.15°, SLL=-0.1 dB
[Row 75] Task B: ΔMain-lobe=82.49 dB, HPBW_elev≈7.50°, HPBW_az≈17.15°, SLL=-0.2 dB
[Row 76] Task B: ΔMain-lobe=45.10 dB, HPBW_elev≈15.32°, HPBW_az≈1.42°, SLL=-0.4 dB
[Row 77] Task B: ΔMain-lobe=95.15 dB, HPBW_elev≈17.43°, HPBW_az≈13.15°, SLL=-1.4 dB
