Directional Gain Comparison (Task A vs Task B)
Idx | θ φ | GainA | GainB | Δ(B-A)
  0 |  90.0  90.0 |  38.23 |  36.69 |  -1.55
  1 |  92.5  86.3 |  -2.59 |  -3.99 |  -1.40
  2 |  87.5  93.7 |  -2.59 |  -3.03 |  -0.44
  3 |  92.8  93.6 |  -3.72 |   6.56 |  10.28
  4 |  87.3  86.2 |  -2.06 |   4.75 |   6.81
  5 |  84.8  89.8 |  36.16 |  33.50 |  -2.66
  6 |  95.3  90.0 |  36.61 |  34.20 |  -2.41
  7 |  90.3  97.3 |  -3.68 |  -0.32 |   3.36
  8 |  89.9  82.6 | -25.19 |  -8.41 |  16.78
  9 |  82.3  93.5 | -42.07 |  -4.82 |  37.26
 10 |  97.8  86.3 | -14.40 |  -1.07 |  13.33
 11 |  82.9  85.0 | -16.56 |  -8.19 |   8.37
 12 |  98.1  93.6 | -21.79 |  -8.21 |  13.58
 13 |  95.0  82.7 | -21.39 |   0.38 |  21.77
 14 |  85.0  97.3 | -21.40 |   4.49 |  25.89
 15 |  95.5  97.2 | -15.01 |  -8.30 |   6.71
 16 |  85.4  81.4 | -26.31 |  -4.68 |  21.63
 17 |  80.4  88.7 | -24.02 |  -0.20 |  23.82
 18 | 100.5  89.9 |  -6.53 |  22.59 |  29.12
 19 |  87.8 100.9 | -26.08 |  -0.29 |  25.78
 20 |  93.0 100.8 | -24.79 |  -4.46 |  20.33
 21 |  92.4  79.0 | -111.15 |  -1.30 | 109.85
 22 |  88.0  77.9 | -55.60 | -11.39 |  44.20
 23 |  77.9  92.3 | -33.83 |  -7.38 |  26.45
 24 |  79.9  97.1 | -28.86 | -24.36 |   4.50
 25 | 100.2  82.7 | -72.74 |  -8.03 |  64.71
 26 | 100.7  97.2 | -29.04 |   2.95 |  31.99
 27 |  78.7  83.7 | -25.13 |   0.14 |  25.27
 28 |  97.4  79.1 | -38.24 | -11.90 |  26.34
 29 |  82.6 100.9 | -13.47 | -21.65 |  -8.18
 30 |  81.2  80.1 | -64.46 |  -4.80 |  59.66
 31 | 102.9  86.2 | -26.72 |  -0.95 |  25.77
 32 |  98.2 100.8 | -20.27 |  -5.96 |  14.31
 33 | 103.2  93.5 | -48.02 |  -3.26 |  44.77
 34 |  76.2  87.3 | -39.02 |  -4.98 |  34.03
 35 |  90.5 104.3 | -43.21 |  -6.04 |  37.17
 36 |  83.8  76.6 | -57.03 |  -4.18 |  52.85
 37 |  85.4 104.3 | -48.33 |  -9.55 |  38.78
 38 |  94.8  75.5 | -43.21 | -13.13 |  30.08
 39 |  95.7 104.3 | -49.89 |  -6.90 |  42.99
 40 | 105.5  89.9 |  -2.71 |  -5.08 |  -2.37
 41 |  90.5  74.4 | -57.14 |  -1.56 |  55.59
 42 |  75.6  95.9 | -68.28 |   0.50 |  68.78
 43 |  73.8  90.9 | -46.31 |  -1.05 |  45.26
 44 |  77.6 100.7 | -69.42 |  -8.55 |  60.88
 45 | 102.5  79.1 | -60.27 |  -0.65 |  59.62
 46 | 105.2  82.6 | -55.54 |  -3.43 |  52.10
 47 | 103.2 100.7 | -111.11 |  -9.60 | 101.51
 48 |  77.1  78.8 | -49.09 | -11.09 |  38.00
 49 |  74.6  82.3 | -117.93 |  -3.10 | 114.84
 50 | 105.6  97.1 | -68.55 |  -9.02 |  59.53
 51 |  86.3  73.2 | -75.98 |  -2.11 |  73.87
 52 |  99.7  75.7 | -71.76 |  -3.26 |  68.50
 53 |  80.3 104.3 | -63.79 |  -3.73 |  60.06
 54 | 100.7 104.2 | -85.97 |  -8.17 |  77.80
 55 |  88.1 107.7 | -87.50 |  -5.94 |  81.56
 56 |  79.7  75.3 | -81.78 |  -7.11 |  74.67
 57 |  93.2 107.7 | -79.06 |  -2.03 |  77.03
 58 | 107.8  86.2 | -58.44 | -10.62 |  47.81
 59 |  72.2  85.9 | -76.16 |  -4.55 |  71.61
 60 | 108.0  93.5 | -75.47 |  -9.42 |  66.05
 61 |  83.1 107.7 | -104.37 |  -5.81 |  98.56
 62 |  71.5  94.6 | -63.53 |  -9.14 |  54.38
 63 |  92.9  71.1 | -44.13 |   1.92 |  46.05
 64 |  73.4  99.5 | -75.63 |  -4.91 |  70.73
 65 |  97.1  72.2 | -108.81 |  -3.58 | 105.23
 66 |  98.2 107.6 | -55.58 | -10.19 |  45.39
 67 |  82.3  72.0 | -43.78 |  -7.24 |  36.54
 68 |  88.8  70.0 | -114.19 |  -3.63 | 110.56
 69 |  69.9  89.6 | -50.07 |  -0.52 |  49.55
 70 |  75.4 104.1 | -112.88 |  -6.23 | 106.65
 71 | 110.3  89.8 | -54.50 |  -9.99 |  44.51
 72 | 107.3  79.1 | -53.64 |  -5.22 |  48.42
 73 | 104.6  75.6 | -73.56 | -13.17 |  60.39
 74 |  73.2  77.5 | -136.04 |  -0.86 | 135.17
 75 | 108.0 100.6 | -82.09 |   0.40 |  82.49
 76 | 105.5 104.1 | -49.97 |  -4.86 |  45.10
 77 |  90.8 110.9 | -101.87 |  -6.72 |  95.15
 78 |  70.8  81.0 | -80.90 |  -3.36 |  77.54
 79 | 109.9  82.6 | -54.40 |  -3.39 |  51.01
 80 | 101.9  72.3 | -104.58 |   1.12 | 105.70
 81 |  78.1 107.7 | -94.14 |  -8.14 |  86.01
 82 |  75.8  74.1 | -52.91 |  -4.75 |  48.16
 83 |  85.8 110.9 | -54.96 |  -7.62 |  47.34
 84 | 110.3  97.0 | -83.41 |   0.65 |  84.06
 85 |  95.7 110.9 | -110.45 |  -5.99 | 104.47
 86 | 103.0 107.5 | -57.55 |  -4.71 |  52.85
 87 |  84.8  68.8 | -73.58 | -18.14 |  55.44
 88 |  69.4  98.1 | -82.10 |  -8.90 |  73.20
 89 |  68.4  84.6 | -53.23 | -21.64 |  31.59
 90 |  78.3  70.8 | -112.83 |  -9.22 | 103.61
 91 |  67.7  93.2 | -44.39 |  -7.22 |  37.16
 92 |  95.2  68.0 | -55.64 |  -3.18 |  52.46
 93 |  71.3 103.0 | -132.05 | -13.51 | 118.53
 94 | 112.3  86.1 | -70.52 |  -3.95 |  66.57
 95 |  80.9 110.9 | -68.82 |   3.32 |  72.14
 96 | 112.6  93.4 | -83.57 | -10.26 |  73.31
 97 |  99.3  69.0 | -134.01 |  -3.66 | 130.35
 98 |  91.2  66.9 | -106.39 |  -2.72 | 103.67
 99 | 100.5 110.8 | -81.06 | -36.79 |  44.27
100 | 109.2  75.6 | -118.35 |  -4.74 | 113.61
101 |  73.4 107.5 | -123.82 |  -6.93 | 116.89
102 |  66.2  88.2 | -96.56 |  -0.55 |  96.01
103 |  80.9  67.7 | -45.76 |  -2.83 |  42.93
104 |  88.5 114.0 | -127.64 |  -7.97 | 119.67
105 | 106.6  72.3 | -84.01 |  -5.14 |  78.87
